,g++,g++ -O1,g++ -O2,g++ -O3,g++ -Ofast,aocc,aocc -O1,aocc -O2,aocc -O3,aocc -Ofast,intel,intel -O1,intel -O2,intel -O3,intel -Ofast,rustc
0,3.6820930929998212,3.3529267009998875,3.273525825999968,3.3311825169998883,3.6162087160000738,3.214194000999669,3.383795084999747,3.2496592210000017,3.364059179999913,3.5944639690001168,7.351531449000049,7.847467999999935,8.450674115999846,7.1821313129999,6.9742277380000814,3.652345329000127
1,3.7485133049999604,3.339063026000076,3.305430566999803,3.33743096399985,3.2617967860001045,3.1944026850001137,3.3239014079999833,3.2693488179997985,3.436588576000304,3.6373839119996774,7.280597487999785,7.849138099999891,7.959440045000065,6.846711937999771,7.103193058000215,3.661079326000163
2,3.5605510840000534,3.3437361360001887,3.3328398700000434,3.4490285849997235,3.3005100820000735,3.1914967469997464,3.32701540700009,3.2624962869999763,3.388350339000226,3.475731637000081,7.612663693000286,7.658711367999786,7.742429954999807,6.922447224999814,7.066263195000374,3.7945189900001424
3,3.4153042620000633,3.2350463719999425,3.3721254460001546,3.609657092999896,3.335567057999924,3.1700272970001606,3.2958198770002127,3.3329143869996187,3.2991585260001557,3.677949889000047,7.882226838000406,8.011040580000099,7.716488604999995,6.799016262999885,7.139924922999853,3.703566422000222
4,3.3453272840001773,3.346017146000122,3.346686066000075,3.447951983999701,3.2802748359999896,3.254218959999889,3.2307722249997823,3.274105354999847,3.2094964130001244,3.7147975520001637,7.516832648000218,7.674190099000043,7.685958783999922,6.939061689000027,6.941105792999679,3.6564087879996805
5,3.32014961699997,3.2864850730002217,3.373842066999714,3.3811174490001576,3.2755377489997954,3.2349425570000676,3.231650619999982,3.2764051019998988,3.293784485999822,3.765056599000218,6.918460013000185,7.775128539999969,7.731819777000055,7.089335507999749,7.169413678000183,3.7601189519996296
6,3.342712109999866,3.3179877950001355,3.295897046999926,3.3393625369999427,3.332257793000281,3.2421582669999225,3.1632952840000144,3.3175146280000263,3.3577622409998185,3.7810193359996447,7.087454150000212,7.876438366000002,7.743350400000054,6.958988818999842,7.078328988000067,3.7689777909999975
7,3.3783948450000025,3.3629482390001613,3.38393820400006,3.3211459620001733,3.366841875999853,3.326176791999842,3.1198570050000853,3.3326903810002477,3.3261382719997528,3.6454634460001216,8.0205211829998,8.075904041000285,7.907218676999946,6.943834766999771,7.111615431000246,3.891786535999927
8,3.307841909000217,3.3889380369996616,3.3575138850001167,3.2900147939999442,3.2849411500001224,3.286786443999972,3.3268477490000805,3.3113048909999634,3.337237069999901,3.7199387350001416,7.733546898999975,7.8180147789998955,8.450795775999723,7.104552202999912,6.8182099289997495,3.709780955000042
9,3.35276966299989,3.265155491000314,3.3553217539997604,3.3321524440002577,3.2742756510001527,3.5289992510001866,3.3305120059999354,3.3352979490000507,3.637791345000096,3.353348504999758,8.076593401000082,7.765704236000147,7.604695120000088,6.985930656000164,7.0410476469996865,3.7707026549996954
min,3.307841909000217,3.2350463719999425,3.273525825999968,3.2900147939999442,3.2617967860001045,3.1700272970001606,3.1198570050000853,3.2496592210000017,3.2094964130001244,3.353348504999758,6.918460013000185,7.658711367999786,7.604695120000088,6.799016262999885,6.8182099289997495,3.652345329000127
max,3.7485133049999604,3.3889380369996616,3.38393820400006,3.609657092999896,3.6162087160000738,3.5289992510001866,3.383795084999747,3.3352979490000507,3.637791345000096,3.7810193359996447,8.076593401000082,8.075904041000285,8.450795775999723,7.1821313129999,7.169413678000183,3.891786535999927
mean,3.4453657172000023,3.323830401600071,3.339712073199962,3.3839044328999535,3.332821169700037,3.264340300099957,3.2733466665999913,3.296173701899943,3.3650366448000115,3.636515357999997,7.5480427762001,7.835173810900005,7.89928712549995,6.977201038099883,7.044333038000014,3.7369285743999625
